DateTime,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
2025-08-04 09:30:00,09:30 - 09:31,66.8595,0.3995,66.83,66.8595,66.83,58.0,198787.0
2025-08-04 09:31:00,09:31 - 09:32,66.88,0.0205,66.85,66.88,66.85,18.0,5335.0
2025-08-04 09:32:00,09:32 - 09:33,66.87,-0.01,66.88,66.8847,66.865,20.0,9221.0
2025-08-04 09:33:00,09:33 - 09:34,66.85,-0.02,66.875,66.885,66.85,16.0,8288.0
2025-08-04 09:34:00,09:34 - 09:35,66.85,0.0,66.845,66.85,66.83,16.0,2347.0
2025-08-04 09:35:00,09:35 - 09:36,66.81,-0.04,66.84,66.84,66.8,16.0,3444.0
2025-08-04 09:36:00,09:36 - 09:37,66.79,-0.02,66.8,66.81,66.79,18.0,5926.0
2025-08-04 09:37:00,09:37 - 09:38,66.8299,0.0399,66.8,66.8299,66.8,15.0,11942.0
2025-08-04 09:38:00,09:38 - 09:39,66.8153,-0.0146,66.835,66.835,66.81,8.0,1383.0
2025-08-04 09:39:00,09:39 - 09:40,66.86,0.0447,66.835,66.86,66.835,33.0,14823.0
2025-08-04 09:40:00,09:40 - 09:41,66.8535,-0.0065,66.85,66.88,66.84,31.0,18355.0
2025-08-04 09:41:00,09:41 - 09:42,66.85,-0.0035,66.85,66.855,66.85,5.0,650.0
2025-08-04 09:42:00,09:42 - 09:43,66.83,-0.02,66.8367,66.86,66.8267,57.0,24365.0
2025-08-04 09:43:00,09:43 - 09:44,66.835,0.005,66.83,66.835,66.82,7.0,1041.0
2025-08-04 09:44:00,09:44 - 09:45,66.85,0.015,66.84,66.85,66.84,12.0,2485.0
2025-08-04 09:45:00,09:45 - 09:46,66.88,0.03,66.85,66.88,66.85,17.0,3329.0
2025-08-04 09:46:00,09:46 - 09:47,66.9,0.02,66.88,66.9,66.87,25.0,5010.0
2025-08-04 09:47:00,09:47 - 09:48,66.96,0.06,66.92,66.96,66.905,22.0,4694.0
2025-08-04 09:48:00,09:48 - 09:49,66.9593,-0.0007,66.96,66.9795,66.94,39.0,11631.0
2025-08-04 09:49:00,09:49 - 09:50,66.965,0.0057,66.97,66.97,66.95,12.0,3825.0
2025-08-04 09:50:00,09:50 - 09:51,66.97,0.005,66.9607,66.9799,66.9607,5.0,1625.0
2025-08-04 09:51:00,09:51 - 09:52,66.97,0.0,66.96,66.97,66.9547,8.0,3018.0
2025-08-04 09:52:00,09:52 - 09:53,67.02,0.05,66.98,67.02,66.98,31.0,6531.0
2025-08-04 09:53:00,09:53 - 09:54,66.99,-0.03,67.02,67.02,66.99,13.0,2631.0
2025-08-04 09:54:00,09:54 - 09:55,67.025,0.035,67.01,67.025,67.01,5.0,827.0
2025-08-04 09:55:00,09:55 - 09:56,67.01,-0.015,67.025,67.025,67.01,7.0,1077.0
2025-08-04 09:56:00,09:56 - 09:57,66.99,-0.02,67.01,67.01,66.9867,20.0,6182.0
2025-08-04 09:57:00,09:57 - 09:58,67.0,0.01,66.98,67.005,66.98,28.0,8707.0
2025-08-04 09:58:00,09:58 - 09:59,66.99,-0.01,66.9953,67.0,66.99,29.0,6311.0
2025-08-04 09:59:00,09:59 - 10:00,66.99,0.0,66.99,66.99,66.99,9.0,2393.0
2025-08-04 10:00:00,10:00 - 10:01,66.975,-0.015,67.0,67.0,66.975,11.0,2456.0
2025-08-04 10:01:00,10:01 - 10:02,66.99,0.015,66.98,66.995,66.97,21.0,4304.0
2025-08-04 10:02:00,10:02 - 10:03,67.01,0.02,66.99,67.0199,66.99,14.0,10564.0
2025-08-04 10:03:00,10:03 - 10:04,66.97,-0.04,67.0099,67.0102,66.97,19.0,3908.0
2025-08-04 10:04:00,10:04 - 10:05,66.9399,-0.0301,66.97,66.97,66.93,29.0,27549.0
2025-08-04 10:05:00,10:05 - 10:06,66.94,0.0001,66.94,66.9665,66.94,29.0,7228.0
2025-08-04 10:06:00,10:06 - 10:07,66.9118,-0.0282,66.94,66.9488,66.9118,30.0,9584.0
2025-08-04 10:07:00,10:07 - 10:08,66.92,0.0082,66.9,66.92,66.89,12.0,4281.0
2025-08-04 10:08:00,10:08 - 10:09,66.95,0.03,66.94,66.95,66.935,9.0,4408.0
2025-08-04 10:09:00,10:09 - 10:10,66.925,-0.025,66.94,66.94,66.925,8.0,2080.0
2025-08-04 10:10:00,10:10 - 10:11,66.9199,-0.0051,66.94,66.94,66.9101,18.0,5969.0
2025-08-04 10:11:00,10:11 - 10:12,66.9099,-0.01,66.9207,66.9299,66.905,7.0,5928.0
2025-08-04 10:12:00,10:12 - 10:13,66.885,-0.0249,66.899,66.899,66.8799,20.0,5255.0
2025-08-04 10:13:00,10:13 - 10:14,66.87,-0.015,66.88,66.88,66.87,10.0,4000.0
2025-08-04 10:14:00,10:14 - 10:15,66.87,0.0,66.87,66.88,66.8597,29.0,6611.0
2025-08-04 10:15:00,10:15 - 10:16,66.8699,-0.0001,66.875,66.8803,66.8697,33.0,20664.0
2025-08-04 10:16:00,10:16 - 10:17,66.86,-0.0099,66.87,66.885,66.85,16.0,4459.0
2025-08-04 10:17:00,10:17 - 10:18,66.86,0.0,66.87,66.87,66.86,12.0,3916.0
2025-08-04 10:18:00,10:18 - 10:19,66.8499,-0.0101,66.87,66.87,66.8499,9.0,12999.0
2025-08-04 10:19:00,10:19 - 10:20,66.85,0.0001,66.85,66.855,66.85,15.0,3000.0
2025-08-04 10:20:00,10:20 - 10:21,66.845,-0.005,66.84,66.845,66.8201,15.0,3562.0
2025-08-04 10:21:00,10:21 - 10:22,66.8601,0.0151,66.8442,66.8799,66.8442,15.0,4676.0
2025-08-04 10:22:00,10:22 - 10:23,66.84,-0.0201,66.8613,66.8613,66.825,24.0,9251.0
2025-08-04 10:23:00,10:23 - 10:24,66.85,0.01,66.8401,66.85,66.84,15.0,5724.0
2025-08-04 10:24:00,10:24 - 10:25,66.865,0.015,66.865,66.87,66.865,14.0,1804.0
2025-08-04 10:25:00,10:25 - 10:26,66.87,0.005,66.8501,66.87,66.8501,11.0,2344.0
2025-08-04 10:26:00,10:26 - 10:27,66.8801,0.0101,66.88,66.8802,66.88,6.0,1210.0
2025-08-04 10:27:00,10:27 - 10:28,66.8926,0.0125,66.879,66.895,66.87,20.0,6124.0
2025-08-04 10:28:00,10:28 - 10:29,66.895,0.0024,66.89,66.895,66.8847,15.0,3482.0
2025-08-04 10:29:00,10:29 - 10:30,66.8641,-0.0309,66.89,66.89,66.8641,23.0,7322.0
2025-08-04 10:30:00,10:30 - 10:31,66.8947,0.0306,66.875,66.905,66.875,31.0,6652.0
2025-08-04 10:31:00,10:31 - 10:32,66.9001,0.0054,66.8993,66.9001,66.88,13.0,3390.0
2025-08-04 10:32:00,10:32 - 10:33,66.8899,-0.0102,66.9101,66.9101,66.8899,12.0,2385.0
2025-08-04 10:33:00,10:33 - 10:34,66.91,0.0201,66.89,66.91,66.89,17.0,5539.0
2025-08-04 10:34:00,10:34 - 10:35,66.8929,-0.0171,66.8993,66.9,66.8929,7.0,12418.0
2025-08-04 10:35:00,10:35 - 10:36,66.9,0.0071,66.91,66.91,66.9,4.0,1757.0
2025-08-04 10:36:00,10:36 - 10:37,66.91,0.01,66.91,66.91,66.91,3.0,523.0
2025-08-04 10:37:00,10:37 - 10:38,66.91,0.0,66.9151,66.9198,66.91,9.0,5163.0
2025-08-04 10:38:00,10:38 - 10:39,66.91,0.0,66.91,66.91,66.9007,6.0,1984.0
2025-08-04 10:39:00,10:39 - 10:40,66.89,-0.02,66.8951,66.8951,66.89,26.0,5612.0
2025-08-04 10:40:00,10:40 - 10:41,66.9,0.01,66.8951,66.9073,66.89,13.0,28829.0
2025-08-04 10:41:00,10:41 - 10:42,66.89,-0.01,66.9,66.9,66.8897,8.0,3076.0
2025-08-04 10:42:00,10:42 - 10:43,66.89,0.0,66.89,66.895,66.885,22.0,3973.0
2025-08-04 10:43:00,10:43 - 10:44,66.88,-0.01,66.88,66.8801,66.875,10.0,3930.0
2025-08-04 10:44:00,10:44 - 10:45,66.8602,-0.0198,66.88,66.88,66.8602,8.0,3705.0
