DateTime,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
2025-11-03 09:30:00-05:00,09:30 - 09:31,80.365,-0.435,80.39,80.395,80.355,483.0,271925
2025-11-03 09:31:00-05:00,09:31 - 09:32,80.34,-0.025,80.365,80.37,80.3201,751.0,1223209
2025-11-03 09:32:00-05:00,09:32 - 09:33,80.31,-0.03,80.34,80.34,80.3,466.0,766519
2025-11-03 09:33:00-05:00,09:33 - 09:34,80.3088,-0.0012,80.31,80.31,80.3,302.0,534526
2025-11-03 09:34:00-05:00,09:34 - 09:35,80.32,0.0112,80.308,80.32,80.3,374.0,181713
2025-11-03 09:35:00-05:00,09:35 - 09:36,80.315,-0.005,80.32,80.32,80.31,71.0,24720
2025-11-03 09:36:00-05:00,09:36 - 09:37,80.315,0.0,80.32,80.33,80.31,258.0,766705
2025-11-03 09:37:00-05:00,09:37 - 09:38,80.315,0.0,80.315,80.32,80.315,137.0,56642
2025-11-03 09:38:00-05:00,09:38 - 09:39,80.315,0.0,80.3135,80.32,80.31,48.0,37256
2025-11-03 09:39:00-05:00,09:39 - 09:40,80.32,0.005,80.315,80.325,80.315,243.0,169247
2025-11-03 09:40:00-05:00,09:40 - 09:41,80.325,0.005,80.315,80.325,80.315,189.0,75602
2025-11-03 09:41:00-05:00,09:41 - 09:42,80.325,0.0,80.325,80.33,80.32,194.0,76548
2025-11-03 09:42:00-05:00,09:42 - 09:43,80.3,-0.025,80.325,80.33,80.3,141.0,92858
2025-11-03 09:43:00-05:00,09:43 - 09:44,80.31,0.01,80.31,80.315,80.3031,172.0,70106
2025-11-03 09:44:00-05:00,09:44 - 09:45,80.31,0.0,80.31,80.31,80.3,88.0,42122
2025-11-03 09:45:00-05:00,09:45 - 09:46,80.315,0.005,80.31,80.32,80.31,113.0,56063
2025-11-03 09:46:00-05:00,09:46 - 09:47,80.315,0.0,80.32,80.32,80.31,75.0,39882
2025-11-03 09:47:00-05:00,09:47 - 09:48,80.33,0.015,80.31,80.33,80.31,260.0,248189
2025-11-03 09:48:00-05:00,09:48 - 09:49,80.3317,0.0017,80.33,80.34,80.3201,161.0,383549
2025-11-03 09:49:00-05:00,09:49 - 09:50,80.325,-0.0067,80.335,80.335,80.32,128.0,86893
2025-11-03 09:50:00-05:00,09:50 - 09:51,80.325,0.0,80.32,80.33,80.32,180.0,107228
2025-11-03 09:51:00-05:00,09:51 - 09:52,80.325,0.0,80.325,80.325,80.315,171.0,108187
2025-11-03 09:52:00-05:00,09:52 - 09:53,80.325,0.0,80.33,80.33,80.32,123.0,115160
2025-11-03 09:53:00-05:00,09:53 - 09:54,80.325,0.0,80.325,80.33,80.32,49.0,16750
2025-11-03 09:54:00-05:00,09:54 - 09:55,80.325,0.0,80.33,80.33,80.325,70.0,33068
2025-11-03 09:55:00-05:00,09:55 - 09:56,80.33,0.005,80.325,80.33,80.3235,29.0,16687
2025-11-03 09:56:00-05:00,09:56 - 09:57,80.33,0.0,80.325,80.34,80.325,242.0,219340
2025-11-03 09:57:00-05:00,09:57 - 09:58,80.335,0.005,80.325,80.34,80.325,116.0,57476
2025-11-03 09:58:00-05:00,09:58 - 09:59,80.34,0.005,80.335,80.37,80.335,164.0,478444
2025-11-03 09:59:00-05:00,09:59 - 10:00,80.355,0.015,80.34,80.365,80.34,220.0,144346
2025-11-03 10:00:00-05:00,10:00 - 10:01,80.335,-0.02,80.355,80.355,80.335,103.0,85593
2025-11-03 10:01:00-05:00,10:01 - 10:02,80.345,0.01,80.34,80.35,80.33,171.0,124303
2025-11-03 10:02:00-05:00,10:02 - 10:03,80.355,0.01,80.345,80.36,80.345,54.0,30973
2025-11-03 10:03:00-05:00,10:03 - 10:04,80.345,-0.01,80.35,80.355,80.34,123.0,199097
2025-11-03 10:04:00-05:00,10:04 - 10:05,80.345,0.0,80.345,80.35,80.345,209.0,175055
2025-11-03 10:05:00-05:00,10:05 - 10:06,80.345,0.0,80.345,80.35,80.34,93.0,56238
2025-11-03 10:06:00-05:00,10:06 - 10:07,80.345,0.0,80.345,80.36,80.3401,498.0,425260
2025-11-03 10:07:00-05:00,10:07 - 10:08,80.345,0.0,80.345,80.35,80.34,142.0,154255
2025-11-03 10:08:00-05:00,10:08 - 10:09,80.36,0.015,80.345,80.36,80.345,135.0,116350
2025-11-03 10:09:00-05:00,10:09 - 10:10,80.355,-0.005,80.36,80.365,80.355,48.0,27061
2025-11-03 10:10:00-05:00,10:10 - 10:11,80.355,0.0,80.36,80.37,80.355,63.0,35189
2025-11-03 10:11:00-05:00,10:11 - 10:12,80.35,-0.005,80.355,80.3575,80.345,54.0,17838
2025-11-03 10:12:00-05:00,10:12 - 10:13,80.345,-0.005,80.345,80.35,80.345,65.0,54260
2025-11-03 10:13:00-05:00,10:13 - 10:14,80.345,0.0,80.35,80.35,80.345,63.0,22141
2025-11-03 10:14:00-05:00,10:14 - 10:15,80.35,0.005,80.345,80.35,80.345,59.0,26451
2025-11-03 10:15:00-05:00,10:15 - 10:16,80.345,-0.005,80.345,80.35,80.3442,111.0,54577
2025-11-03 10:16:00-05:00,10:16 - 10:17,80.32,-0.025,80.345,80.35,80.32,307.0,246449
2025-11-03 10:17:00-05:00,10:17 - 10:18,80.325,0.005,80.325,80.33,80.32,37.0,14410
2025-11-03 10:18:00-05:00,10:18 - 10:19,80.33,0.005,80.325,80.335,80.325,85.0,66069
2025-11-03 10:19:00-05:00,10:19 - 10:20,80.335,0.005,80.335,80.34,80.335,38.0,13049
2025-11-03 10:20:00-05:00,10:20 - 10:21,80.33,-0.005,80.335,80.335,80.33,106.0,116969
2025-11-03 10:21:00-05:00,10:21 - 10:22,80.3399,0.0099,80.33,80.3399,80.33,87.0,56717
2025-11-03 10:22:00-05:00,10:22 - 10:23,80.33,-0.0099,80.33,80.3399,80.33,36.0,10696
2025-11-03 10:23:00-05:00,10:23 - 10:24,80.325,-0.005,80.33,80.335,80.32,205.0,97682
2025-11-03 10:24:00-05:00,10:24 - 10:25,80.315,-0.01,80.325,80.325,80.31,177.0,202932
2025-11-03 10:25:00-05:00,10:25 - 10:26,80.31,-0.005,80.315,80.315,80.31,40.0,13564
