DateTime,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
2025-09-03 09:30:00-04:00,09:30 - 09:31,62.15,0.16,62.18,62.195,62.15,84.0,43655.0
2025-09-03 09:31:00-04:00,09:31 - 09:32,62.1,-0.05,62.15,62.16,62.095,78.0,14185.0
2025-09-03 09:32:00-04:00,09:32 - 09:33,62.13,0.03,62.105,62.155,62.105,18.0,2738.0
2025-09-03 09:33:00-04:00,09:33 - 09:34,62.16,0.03,62.13,62.17,62.13,56.0,14149.0
2025-09-03 09:34:00-04:00,09:34 - 09:35,62.165,0.005,62.17,62.17,62.155,69.0,30863.0
2025-09-03 09:35:00-04:00,09:35 - 09:36,62.15,-0.015,62.16,62.185,62.145,44.0,24504.0
2025-09-03 09:36:00-04:00,09:36 - 09:37,62.1459,-0.0041,62.16,62.165,62.145,53.0,20231.0
2025-09-03 09:37:00-04:00,09:37 - 09:38,62.127,-0.0189,62.14,62.14,62.125,47.0,11964.0
2025-09-03 09:38:00-04:00,09:38 - 09:39,62.14,0.013,62.13,62.14,62.125,33.0,12641.0
2025-09-03 09:39:00-04:00,09:39 - 09:40,62.145,0.005,62.14,62.1459,62.135,95.0,43604.0
2025-09-03 09:40:00-04:00,09:40 - 09:41,62.1192,-0.0258,62.145,62.1452,62.115,67.0,17889.0
2025-09-03 09:41:00-04:00,09:41 - 09:42,62.11,-0.0092,62.11,62.115,62.09,113.0,38209.0
2025-09-03 09:42:00-04:00,09:42 - 09:43,62.1,-0.01,62.115,62.115,62.095,86.0,26445.0
2025-09-03 09:43:00-04:00,09:43 - 09:44,62.14,0.04,62.11,62.14,62.105,34.0,13215.0
2025-09-03 09:44:00-04:00,09:44 - 09:45,62.135,-0.005,62.14,62.148,62.135,51.0,18565.0
2025-09-03 09:45:00-04:00,09:45 - 09:46,62.1,-0.035,62.14,62.14,62.0901,104.0,35953.0
2025-09-03 09:46:00-04:00,09:46 - 09:47,62.11,0.01,62.1,62.11,62.0914,37.0,12801.0
2025-09-03 09:47:00-04:00,09:47 - 09:48,62.125,0.015,62.11,62.1283,62.108,42.0,20954.0
2025-09-03 09:48:00-04:00,09:48 - 09:49,62.1,-0.025,62.13,62.13,62.1,26.0,5084.0
2025-09-03 09:49:00-04:00,09:49 - 09:50,62.13,0.03,62.1,62.13,62.1,46.0,16789.0
2025-09-03 09:50:00-04:00,09:50 - 09:51,62.1201,-0.0099,62.13,62.135,62.116,45.0,9560.0
2025-09-03 09:51:00-04:00,09:51 - 09:52,62.135,0.0149,62.13,62.145,62.1228,75.0,42683.0
2025-09-03 09:52:00-04:00,09:52 - 09:53,62.105,-0.03,62.1315,62.14,62.105,33.0,12899.0
2025-09-03 09:53:00-04:00,09:53 - 09:54,62.09,-0.015,62.105,62.105,62.09,21.0,6580.0
2025-09-03 09:54:00-04:00,09:54 - 09:55,62.095,0.005,62.095,62.1,62.0921,12.0,7640.0
2025-09-03 09:55:00-04:00,09:55 - 09:56,62.1023,0.0073,62.1,62.115,62.085,78.0,33494.0
2025-09-03 09:56:00-04:00,09:56 - 09:57,62.118,0.0157,62.105,62.118,62.105,42.0,26586.0
2025-09-03 09:57:00-04:00,09:57 - 09:58,62.1,-0.018,62.12,62.125,62.1,65.0,21055.0
2025-09-03 09:58:00-04:00,09:58 - 09:59,62.0986,-0.0014,62.095,62.1,62.09,19.0,5300.0
2025-09-03 09:59:00-04:00,09:59 - 10:00,62.1,0.0014,62.1,62.105,62.095,67.0,24003.0
2025-09-03 10:00:00-04:00,10:00 - 10:01,62.165,0.065,62.11,62.17,62.11,164.0,53355.0
2025-09-03 10:01:00-04:00,10:01 - 10:02,62.1835,0.0185,62.17,62.19,62.17,64.0,27720.0
2025-09-03 10:02:00-04:00,10:02 - 10:03,62.19,0.0065,62.19,62.2,62.18,45.0,20003.0
2025-09-03 10:03:00-04:00,10:03 - 10:04,62.22,0.03,62.195,62.22,62.19,79.0,31924.0
2025-09-03 10:04:00-04:00,10:04 - 10:05,62.245,0.025,62.22,62.245,62.22,32.0,10309.0
2025-09-03 10:05:00-04:00,10:05 - 10:06,62.235,-0.01,62.25,62.2599,62.235,76.0,23440.0
2025-09-03 10:06:00-04:00,10:06 - 10:07,62.24,0.005,62.24,62.275,62.24,93.0,41987.0
2025-09-03 10:07:00-04:00,10:07 - 10:08,62.245,0.005,62.2399,62.2488,62.235,13.0,19596.0
2025-09-03 10:08:00-04:00,10:08 - 10:09,62.24,-0.005,62.255,62.255,62.2335,21.0,9187.0
2025-09-03 10:09:00-04:00,10:09 - 10:10,62.24,0.0,62.245,62.245,62.235,23.0,10756.0
2025-09-03 10:10:00-04:00,10:10 - 10:11,62.275,0.035,62.25,62.28,62.2466,35.0,9158.0
2025-09-03 10:11:00-04:00,10:11 - 10:12,62.27,-0.005,62.275,62.275,62.265,34.0,11448.0
2025-09-03 10:12:00-04:00,10:12 - 10:13,62.235,-0.035,62.26,62.26,62.225,48.0,25382.0
2025-09-03 10:13:00-04:00,10:13 - 10:14,62.225,-0.01,62.235,62.235,62.21,57.0,89082.0
2025-09-03 10:14:00-04:00,10:14 - 10:15,62.215,-0.01,62.225,62.23,62.215,73.0,30916.0
2025-09-03 10:15:00-04:00,10:15 - 10:16,62.245,0.03,62.22,62.245,62.22,56.0,16204.0
2025-09-03 10:16:00-04:00,10:16 - 10:17,62.255,0.01,62.248,62.26,62.24,21.0,6418.0
2025-09-03 10:17:00-04:00,10:17 - 10:18,62.275,0.02,62.2551,62.275,62.25,24.0,6656.0
2025-09-03 10:18:00-04:00,10:18 - 10:19,62.285,0.01,62.275,62.295,62.275,34.0,11955.0
2025-09-03 10:19:00-04:00,10:19 - 10:20,62.275,-0.01,62.29,62.3,62.27,23.0,6251.0
2025-09-03 10:20:00-04:00,10:20 - 10:21,62.2846,0.0096,62.275,62.295,62.275,28.0,11326.0
2025-09-03 10:21:00-04:00,10:21 - 10:22,62.28,-0.0046,62.285,62.285,62.27,17.0,4884.0
2025-09-03 10:22:00-04:00,10:22 - 10:23,62.28,0.0,62.285,62.29,62.28,30.0,9039.0
2025-09-03 10:23:00-04:00,10:23 - 10:24,62.275,-0.005,62.285,62.29,62.2701,33.0,7506.0
2025-09-03 10:24:00-04:00,10:24 - 10:25,62.2871,0.0121,62.2765,62.29,62.2701,22.0,5620.0
2025-09-03 10:25:00-04:00,10:25 - 10:26,62.2901,0.003,62.28,62.295,62.275,25.0,29578.0
2025-09-03 10:26:00-04:00,10:26 - 10:27,62.2899,-0.0002,62.295,62.3,62.28,32.0,9050.0
2025-09-03 10:27:00-04:00,10:27 - 10:28,62.28,-0.0099,62.285,62.2968,62.28,32.0,11413.0
2025-09-03 10:28:00-04:00,10:28 - 10:29,62.285,0.005,62.275,62.295,62.275,47.0,14380.0
2025-09-03 10:29:00-04:00,10:29 - 10:30,62.27,-0.015,62.28,62.285,62.26,25.0,8790.0
2025-09-03 10:30:00-04:00,10:30 - 10:31,62.289,0.019,62.27,62.29,62.27,47.0,27562.0
2025-09-03 10:31:00-04:00,10:31 - 10:32,62.295,0.006,62.29,62.305,62.2828,33.0,14612.0
2025-09-03 10:32:00-04:00,10:32 - 10:33,62.285,-0.01,62.29,62.305,62.285,72.0,36285.0
2025-09-03 10:33:00-04:00,10:33 - 10:34,62.2616,-0.0234,62.285,62.285,62.2616,82.0,56284.0
2025-09-03 10:34:00-04:00,10:34 - 10:35,62.275,0.0134,62.26,62.275,62.255,39.0,19514.0
2025-09-03 10:35:00-04:00,10:35 - 10:36,62.26,-0.015,62.275,62.2755,62.26,48.0,25342.0
2025-09-03 10:36:00-04:00,10:36 - 10:37,62.25,-0.01,62.2565,62.2565,62.24,53.0,18644.0
2025-09-03 10:37:00-04:00,10:37 - 10:38,62.245,-0.005,62.245,62.25,62.2354,52.0,21282.0
2025-09-03 10:38:00-04:00,10:38 - 10:39,62.2361,-0.0089,62.245,62.2483,62.23,37.0,10534.0
2025-09-03 10:39:00-04:00,10:39 - 10:40,62.245,0.0089,62.2398,62.25,62.2393,21.0,11177.0
2025-09-03 10:40:00-04:00,10:40 - 10:41,62.26,0.015,62.25,62.2651,62.25,15.0,4768.0
2025-09-03 10:41:00-04:00,10:41 - 10:42,62.26,0.0,62.255,62.26,62.2501,31.0,10072.0
2025-09-03 10:42:00-04:00,10:42 - 10:43,62.26,0.0,62.26,62.26,62.255,19.0,5767.0
2025-09-03 10:43:00-04:00,10:43 - 10:44,62.275,0.015,62.27,62.275,62.27,13.0,1856.0
2025-09-03 10:44:00-04:00,10:44 - 10:45,62.2769,0.0019,62.275,62.285,62.2745,44.0,16008.0
2025-09-03 10:45:00-04:00,10:45 - 10:46,62.28,0.0031,62.275,62.285,62.27,37.0,11823.0
2025-09-03 10:46:00-04:00,10:46 - 10:47,62.28,0.0,62.275,62.28,62.27,17.0,7344.0
