DateTime,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
2025-08-04 09:30:00-04:00,09:30 - 09:31,6279.9,41.89,6271.71,6280.73,6271.71,60.0,N.A.
2025-08-04 09:31:00-04:00,09:31 - 09:32,6283.52,3.62,6280.5,6283.52,6278.63,60.0,N.A.
2025-08-04 09:32:00-04:00,09:32 - 09:33,6284.42,0.9,6283.49,6285.22,6283.41,60.0,N.A.
2025-08-04 09:33:00-04:00,09:33 - 09:34,6287.32,2.9,6284.57,6289.0,6284.57,60.0,N.A.
2025-08-04 09:34:00-04:00,09:34 - 09:35,6288.58,1.26,6286.9,6288.58,6285.79,60.0,N.A.
2025-08-04 09:35:00-04:00,09:35 - 09:36,6291.45,2.87,6287.3,6292.48,6286.77,60.0,N.A.
2025-08-04 09:36:00-04:00,09:36 - 09:37,6292.31,0.86,6291.6,6293.77,6291.16,60.0,N.A.
2025-08-04 09:37:00-04:00,09:37 - 09:38,6293.54,1.23,6292.24,6293.82,6292.24,60.0,N.A.
2025-08-04 09:38:00-04:00,09:38 - 09:39,6294.44,0.9,6294.14,6295.51,6293.53,60.0,N.A.
2025-08-04 09:39:00-04:00,09:39 - 09:40,6293.51,-0.93,6294.35,6294.79,6292.71,60.0,N.A.
2025-08-04 09:40:00-04:00,09:40 - 09:41,6291.75,-1.76,6293.73,6293.92,6290.37,60.0,N.A.
2025-08-04 09:41:00-04:00,09:41 - 09:42,6292.49,0.74,6291.72,6293.01,6291.1,60.0,N.A.
2025-08-04 09:42:00-04:00,09:42 - 09:43,6295.91,3.42,6292.69,6296.08,6291.8,60.0,N.A.
2025-08-04 09:43:00-04:00,09:43 - 09:44,6297.43,1.52,6296.17,6298.97,6296.17,60.0,N.A.
2025-08-04 09:44:00-04:00,09:44 - 09:45,6297.85,0.42,6297.18,6298.34,6296.39,60.0,N.A.
2025-08-04 09:45:00-04:00,09:45 - 09:46,6302.22,4.37,6298.22,6302.22,6298.22,60.0,N.A.
2025-08-04 09:46:00-04:00,09:46 - 09:47,6303.44,1.22,6302.34,6303.47,6300.75,60.0,N.A.
2025-08-04 09:47:00-04:00,09:47 - 09:48,6304.21,0.77,6303.59,6304.62,6303.3,60.0,N.A.
2025-08-04 09:48:00-04:00,09:48 - 09:49,6303.77,-0.44,6304.5,6305.18,6303.77,60.0,N.A.
2025-08-04 09:49:00-04:00,09:49 - 09:50,6303.04,-0.73,6303.98,6304.15,6302.4,60.0,N.A.
2025-08-04 09:50:00-04:00,09:50 - 09:51,6301.93,-1.11,6303.06,6303.2,6301.77,60.0,N.A.
2025-08-04 09:51:00-04:00,09:51 - 09:52,6300.33,-1.6,6302.31,6302.55,6299.63,60.0,N.A.
2025-08-04 09:52:00-04:00,09:52 - 09:53,6299.55,-0.78,6300.41,6300.84,6298.74,60.0,N.A.
2025-08-04 09:53:00-04:00,09:53 - 09:54,6301.0,1.45,6299.82,6301.06,6299.82,60.0,N.A.
2025-08-04 09:54:00-04:00,09:54 - 09:55,6303.66,2.66,6301.44,6303.96,6301.26,60.0,N.A.
2025-08-04 09:55:00-04:00,09:55 - 09:56,6304.49,0.83,6303.7,6305.8,6303.42,60.0,N.A.
2025-08-04 09:56:00-04:00,09:56 - 09:57,6303.84,-0.65,6304.69,6304.69,6303.12,60.0,N.A.
2025-08-04 09:57:00-04:00,09:57 - 09:58,6307.69,3.85,6303.9,6307.98,6303.9,60.0,N.A.
2025-08-04 09:58:00-04:00,09:58 - 09:59,6309.21,1.52,6307.78,6309.21,6307.35,60.0,N.A.
2025-08-04 09:59:00-04:00,09:59 - 10:00,6309.82,0.61,6309.45,6311.19,6309.45,60.0,N.A.
2025-08-04 10:00:00-04:00,10:00 - 10:01,6311.13,1.31,6310.47,6311.27,6309.82,60.0,N.A.
2025-08-04 10:01:00-04:00,10:01 - 10:02,6310.95,-0.18,6311.39,6311.9,6310.74,60.0,N.A.
2025-08-04 10:02:00-04:00,10:02 - 10:03,6312.16,1.21,6311.4,6312.18,6310.64,60.0,N.A.
2025-08-04 10:03:00-04:00,10:03 - 10:04,6309.34,-2.82,6311.94,6312.05,6309.34,60.0,N.A.
2025-08-04 10:04:00-04:00,10:04 - 10:05,6310.11,0.77,6309.39,6310.17,6309.31,60.0,N.A.
2025-08-04 10:05:00-04:00,10:05 - 10:06,6310.53,0.42,6310.28,6311.15,6309.59,60.0,N.A.
2025-08-04 10:06:00-04:00,10:06 - 10:07,6310.19,-0.34,6310.46,6310.46,6308.55,60.0,N.A.
2025-08-04 10:07:00-04:00,10:07 - 10:08,6308.75,-1.44,6310.35,6310.49,6308.27,60.0,N.A.
2025-08-04 10:08:00-04:00,10:08 - 10:09,6305.74,-3.01,6308.82,6308.95,6305.74,60.0,N.A.
2025-08-04 10:09:00-04:00,10:09 - 10:10,6304.63,-1.11,6305.86,6306.1,6304.63,60.0,N.A.
2025-08-04 10:10:00-04:00,10:10 - 10:11,6304.85,0.22,6304.89,6304.9,6302.79,60.0,N.A.
2025-08-04 10:11:00-04:00,10:11 - 10:12,6306.38,1.53,6304.87,6307.2,6304.87,60.0,N.A.
2025-08-04 10:12:00-04:00,10:12 - 10:13,6306.89,0.51,6306.48,6307.17,6305.5,60.0,N.A.
2025-08-04 10:13:00-04:00,10:13 - 10:14,6306.81,-0.08,6306.75,6307.39,6305.81,60.0,N.A.
2025-08-04 10:14:00-04:00,10:14 - 10:15,6309.6,2.79,6306.78,6309.6,6306.44,60.0,N.A.
2025-08-04 10:15:00-04:00,10:15 - 10:16,6311.97,2.37,6309.4,6312.51,6309.4,60.0,N.A.
2025-08-04 10:16:00-04:00,10:16 - 10:17,6311.58,-0.39,6312.13,6312.5,6310.72,60.0,N.A.
2025-08-04 10:17:00-04:00,10:17 - 10:18,6311.69,0.11,6311.46,6311.69,6309.29,60.0,N.A.
2025-08-04 10:18:00-04:00,10:18 - 10:19,6312.09,0.4,6311.81,6312.21,6311.05,60.0,N.A.
2025-08-04 10:19:00-04:00,10:19 - 10:20,6310.14,-1.95,6312.16,6312.16,6310.14,60.0,N.A.
2025-08-04 10:20:00-04:00,10:20 - 10:21,6311.51,1.37,6310.18,6311.51,6309.12,60.0,N.A.
2025-08-04 10:21:00-04:00,10:21 - 10:22,6311.04,-0.47,6311.46,6312.02,6310.73,60.0,N.A.
2025-08-04 10:22:00-04:00,10:22 - 10:23,6310.68,-0.36,6311.03,6311.2,6309.39,60.0,N.A.
2025-08-04 10:23:00-04:00,10:23 - 10:24,6310.52,-0.16,6310.68,6311.28,6310.25,60.0,N.A.
2025-08-04 10:24:00-04:00,10:24 - 10:25,6310.1,-0.42,6310.48,6310.51,6309.21,60.0,N.A.
2025-08-04 10:25:00-04:00,10:25 - 10:26,6309.57,-0.53,6309.8,6309.82,6308.48,60.0,N.A.
2025-08-04 10:26:00-04:00,10:26 - 10:27,6314.14,4.57,6309.7,6314.14,6309.33,60.0,N.A.
2025-08-04 10:27:00-04:00,10:27 - 10:28,6313.44,-0.7,6314.17,6314.22,6313.16,60.0,N.A.
2025-08-04 10:28:00-04:00,10:28 - 10:29,6313.01,-0.43,6313.42,6313.8,6312.6,60.0,N.A.
2025-08-04 10:29:00-04:00,10:29 - 10:30,6313.68,0.67,6313.23,6313.93,6312.9,60.0,N.A.
2025-08-04 10:30:00-04:00,10:30 - 10:31,6310.77,-2.91,6313.6,6313.6,6310.66,60.0,N.A.
2025-08-04 10:31:00-04:00,10:31 - 10:32,6309.59,-1.18,6310.57,6311.09,6309.07,60.0,N.A.
2025-08-04 10:32:00-04:00,10:32 - 10:33,6310.36,0.77,6309.64,6310.76,6308.92,60.0,N.A.
2025-08-04 10:33:00-04:00,10:33 - 10:34,6310.54,0.18,6310.54,6311.26,6310.28,60.0,N.A.
2025-08-04 10:34:00-04:00,10:34 - 10:35,6310.95,0.41,6310.44,6311.39,6310.44,60.0,N.A.
2025-08-04 10:35:00-04:00,10:35 - 10:36,6311.2,0.25,6311.0,6311.28,6309.86,60.0,N.A.
2025-08-04 10:36:00-04:00,10:36 - 10:37,6312.22,1.02,6311.13,6312.48,6310.44,60.0,N.A.
2025-08-04 10:37:00-04:00,10:37 - 10:38,6311.69,-0.53,6312.1,6312.93,6311.56,60.0,N.A.
2025-08-04 10:38:00-04:00,10:38 - 10:39,6312.67,0.98,6311.88,6312.74,6311.45,60.0,N.A.
2025-08-04 10:39:00-04:00,10:39 - 10:40,6311.84,-0.83,6312.51,6312.66,6311.34,60.0,N.A.
2025-08-04 10:40:00-04:00,10:40 - 10:41,6311.57,-0.27,6311.63,6311.97,6310.99,60.0,N.A.
